,id,identity,path,date,category
0,0,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_1.jpg,2014-07-03,Contrast
1,1,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_2.jpg,2014-07-03,Contrast
2,2,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_3.jpg,2014-08-06,Contrast
3,3,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_4.jpg,2014-08-06,Contrast
4,4,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_5.jpg,2014-06-12,Contrast
5,5,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_6.jpg,2014-06-12,Contrast
6,6,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_7.jpg,2015-04-14,Contrast
7,7,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_8.jpg,2014-09-18,Contrast
8,8,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_9.jpg,2015-01-20,Contrast
9,9,Dan,MacaqueFaces/Contrast/Dan/Macaque_Face_10.jpg,2015-01-20,Contrast
10,10,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_11.jpg,2015-06-01,Expression
11,11,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_12.jpg,2014-07-03,Expression
12,12,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_13.jpg,2014-09-05,Expression
13,13,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_14.jpg,2014-08-06,Expression
14,14,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_15.jpg,2014-10-06,Expression
15,15,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_16.jpg,2015-06-08,Expression
16,16,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_17.jpg,2014-11-12,Expression
17,17,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_18.jpg,2014-08-26,Expression
18,18,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_19.jpg,2014-08-26,Expression
19,19,Dan,MacaqueFaces/Expression/Dan/Macaque_Face_20.jpg,2014-08-26,Expression
20,20,Dan,MacaqueFaces/Good/Dan/Macaque_Face_21.jpg,2014-12-04,Good
21,21,Dan,MacaqueFaces/Good/Dan/Macaque_Face_22.jpg,2014-12-04,Good
22,22,Dan,MacaqueFaces/Good/Dan/Macaque_Face_23.jpg,2014-12-04,Good
23,23,Dan,MacaqueFaces/Good/Dan/Macaque_Face_24.jpg,2014-12-04,Good
24,24,Dan,MacaqueFaces/Good/Dan/Macaque_Face_25.jpg,2014-12-04,Good
25,25,Dan,MacaqueFaces/Good/Dan/Macaque_Face_26.jpg,2014-09-05,Good
26,26,Dan,MacaqueFaces/Good/Dan/Macaque_Face_27.jpg,2014-09-05,Good
27,27,Dan,MacaqueFaces/Good/Dan/Macaque_Face_28.jpg,2014-09-05,Good
28,28,Dan,MacaqueFaces/Good/Dan/Macaque_Face_29.jpg,2014-09-05,Good
29,29,Dan,MacaqueFaces/Good/Dan/Macaque_Face_30.jpg,2014-09-05,Good
30,30,Dan,MacaqueFaces/Good/Dan/Macaque_Face_31.jpg,2014-08-06,Good
31,31,Dan,MacaqueFaces/Good/Dan/Macaque_Face_32.jpg,2014-08-06,Good
32,32,Dan,MacaqueFaces/Good/Dan/Macaque_Face_33.jpg,2014-08-06,Good
33,33,Dan,MacaqueFaces/Good/Dan/Macaque_Face_34.jpg,2014-08-06,Good
34,34,Dan,MacaqueFaces/Good/Dan/Macaque_Face_35.jpg,2014-08-06,Good
35,35,Dan,MacaqueFaces/Good/Dan/Macaque_Face_36.jpg,2014-10-06,Good
36,36,Dan,MacaqueFaces/Good/Dan/Macaque_Face_37.jpg,2014-10-06,Good
37,37,Dan,MacaqueFaces/Good/Dan/Macaque_Face_38.jpg,2014-10-06,Good
38,38,Dan,MacaqueFaces/Good/Dan/Macaque_Face_39.jpg,2014-10-06,Good
39,39,Dan,MacaqueFaces/Good/Dan/Macaque_Face_40.jpg,2014-10-06,Good
40,40,Dan,MacaqueFaces/Good/Dan/Macaque_Face_41.jpg,2014-10-06,Good
41,41,Dan,MacaqueFaces/Good/Dan/Macaque_Face_42.jpg,2014-10-06,Good
42,42,Dan,MacaqueFaces/Good/Dan/Macaque_Face_43.jpg,2014-10-06,Good
43,43,Dan,MacaqueFaces/Good/Dan/Macaque_Face_44.jpg,2015-07-08,Good
44,44,Dan,MacaqueFaces/Good/Dan/Macaque_Face_45.jpg,2015-07-08,Good
45,45,Dan,MacaqueFaces/Good/Dan/Macaque_Face_46.jpg,2015-07-08,Good
46,46,Dan,MacaqueFaces/Good/Dan/Macaque_Face_47.jpg,2014-11-12,Good
47,47,Dan,MacaqueFaces/Good/Dan/Macaque_Face_48.jpg,2014-11-12,Good
48,48,Dan,MacaqueFaces/Good/Dan/Macaque_Face_49.jpg,2014-11-12,Good
49,49,Dan,MacaqueFaces/Good/Dan/Macaque_Face_50.jpg,2014-11-12,Good
50,50,Dan,MacaqueFaces/Good/Dan/Macaque_Face_51.jpg,2014-07-16,Good
51,51,Dan,MacaqueFaces/Good/Dan/Macaque_Face_52.jpg,2014-07-16,Good
52,52,Dan,MacaqueFaces/Good/Dan/Macaque_Face_53.jpg,2014-07-16,Good
53,53,Dan,MacaqueFaces/Good/Dan/Macaque_Face_54.jpg,2015-07-17,Good
54,54,Dan,MacaqueFaces/Good/Dan/Macaque_Face_55.jpg,2015-07-17,Good
55,55,Dan,MacaqueFaces/Good/Dan/Macaque_Face_56.jpg,2015-07-17,Good
56,56,Dan,MacaqueFaces/Good/Dan/Macaque_Face_57.jpg,2014-09-18,Good
57,57,Dan,MacaqueFaces/Good/Dan/Macaque_Face_58.jpg,2014-09-18,Good
58,58,Dan,MacaqueFaces/Good/Dan/Macaque_Face_59.jpg,2014-09-18,Good
59,59,Dan,MacaqueFaces/Good/Dan/Macaque_Face_60.jpg,2014-09-18,Good
60,60,Dan,MacaqueFaces/Good/Dan/Macaque_Face_61.jpg,2014-09-18,Good
61,61,Dan,MacaqueFaces/Good/Dan/Macaque_Face_62.jpg,2014-09-18,Good
62,62,Dan,MacaqueFaces/Good/Dan/Macaque_Face_63.jpg,2014-09-18,Good
63,63,Dan,MacaqueFaces/Good/Dan/Macaque_Face_64.jpg,2014-09-18,Good
64,64,Dan,MacaqueFaces/Good/Dan/Macaque_Face_65.jpg,2014-09-18,Good
65,65,Dan,MacaqueFaces/Good/Dan/Macaque_Face_66.jpg,2014-12-19,Good
66,66,Dan,MacaqueFaces/Good/Dan/Macaque_Face_67.jpg,2014-12-19,Good
67,67,Dan,MacaqueFaces/Good/Dan/Macaque_Face_68.jpg,2014-08-26,Good
68,68,Dan,MacaqueFaces/Good/Dan/Macaque_Face_69.jpg,2014-08-26,Good
69,69,Dan,MacaqueFaces/Good/Dan/Macaque_Face_70.jpg,2014-08-26,Good
70,70,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_71.jpg,2014-09-05,Obscured
71,71,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_72.jpg,2014-11-12,Obscured
72,72,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_73.jpg,2014-07-16,Obscured
73,73,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_74.jpg,2014-07-16,Obscured
74,74,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_75.jpg,2014-07-16,Obscured
75,75,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_76.jpg,2014-09-18,Obscured
76,76,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_77.jpg,2015-01-20,Obscured
77,77,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_78.jpg,2015-01-20,Obscured
78,78,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_79.jpg,2015-01-20,Obscured
79,79,Dan,MacaqueFaces/Obscured/Dan/Macaque_Face_80.jpg,2015-07-23,Obscured
80,80,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_81.jpg,2015-06-01,Rotated
81,81,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_82.jpg,2015-06-01,Rotated
82,82,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_83.jpg,2014-10-06,Rotated
83,83,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_84.jpg,2014-10-06,Rotated
84,84,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_85.jpg,2014-10-06,Rotated
85,85,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_86.jpg,2015-07-09,Rotated
86,86,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_87.jpg,2014-06-12,Rotated
87,87,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_88.jpg,2014-11-12,Rotated
88,88,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_89.jpg,2015-07-17,Rotated
89,89,Dan,MacaqueFaces/Rotated/Dan/Macaque_Face_90.jpg,2014-12-19,Rotated
90,90,Dan,MacaqueFaces/Random/Dan/Macaque_Face_91.jpg,2014-10-06,Random
91,91,Dan,MacaqueFaces/Random/Dan/Macaque_Face_92.jpg,2014-10-06,Random
92,92,Dan,MacaqueFaces/Random/Dan/Macaque_Face_93.jpg,2014-08-26,Random
93,93,Dan,MacaqueFaces/Random/Dan/Macaque_Face_94.jpg,2015-07-23,Random
94,94,Dan,MacaqueFaces/Random/Dan/Macaque_Face_95.jpg,2015-07-23,Random
95,95,Dan,MacaqueFaces/Random/Dan/Macaque_Face_96.jpg,2015-07-23,Random
96,96,Dan,MacaqueFaces/Random/Dan/Macaque_Face_97.jpg,2015-06-03,Random
97,97,Dan,MacaqueFaces/Random/Dan/Macaque_Face_98.jpg,2014-10-06,Random
98,98,Dan,MacaqueFaces/Random/Dan/Macaque_Face_99.jpg,2015-07-23,Random
99,99,Dan,MacaqueFaces/Random/Dan/Macaque_Face_100.jpg,2014-07-16,Random
100,100,Dan,MacaqueFaces/Random/Dan/Macaque_Face_101.jpg,2015-01-28,Random
101,101,Dan,MacaqueFaces/Random/Dan/Macaque_Face_102.jpg,2014-09-18,Random
102,102,Dan,MacaqueFaces/Random/Dan/Macaque_Face_103.jpg,2014-11-12,Random
103,103,Dan,MacaqueFaces/Random/Dan/Macaque_Face_104.jpg,2014-12-19,Random
104,104,Dan,MacaqueFaces/Random/Dan/Macaque_Face_105.jpg,2014-12-02,Random
105,105,Dan,MacaqueFaces/Random/Dan/Macaque_Face_106.jpg,2014-06-12,Random
106,106,Dan,MacaqueFaces/Random/Dan/Macaque_Face_107.jpg,2014-12-04,Random
107,107,Dan,MacaqueFaces/Random/Dan/Macaque_Face_108.jpg,2014-08-06,Random
108,108,Dan,MacaqueFaces/Random/Dan/Macaque_Face_109.jpg,2015-07-22,Random
109,109,Dan,MacaqueFaces/Random/Dan/Macaque_Face_110.jpg,2015-06-08,Random
110,110,Dan,MacaqueFaces/Random/Dan/Macaque_Face_111.jpg,2014-09-18,Random
111,111,Dan,MacaqueFaces/Random/Dan/Macaque_Face_112.jpg,2014-03-19,Random
112,112,Dan,MacaqueFaces/Random/Dan/Macaque_Face_113.jpg,2014-03-19,Random
113,113,Dan,MacaqueFaces/Random/Dan/Macaque_Face_114.jpg,2014-10-06,Random
114,114,Dan,MacaqueFaces/Random/Dan/Macaque_Face_115.jpg,2015-07-23,Random
115,115,Dan,MacaqueFaces/Random/Dan/Macaque_Face_116.jpg,2015-03-18,Random
116,116,Dan,MacaqueFaces/Random/Dan/Macaque_Face_117.jpg,2014-03-19,Random
117,117,Dan,MacaqueFaces/Random/Dan/Macaque_Face_118.jpg,2014-09-18,Random
118,118,Dan,MacaqueFaces/Random/Dan/Macaque_Face_119.jpg,2014-10-06,Random
119,119,Dan,MacaqueFaces/Random/Dan/Macaque_Face_120.jpg,2015-07-17,Random
120,120,Dan,MacaqueFaces/Random/Dan/Macaque_Face_121.jpg,2015-05-28,Random
121,121,Dan,MacaqueFaces/Random/Dan/Macaque_Face_122.jpg,2014-09-18,Random
122,122,Dan,MacaqueFaces/Random/Dan/Macaque_Face_123.jpg,2015-07-09,Random
123,123,Dan,MacaqueFaces/Random/Dan/Macaque_Face_124.jpg,2014-03-19,Random
124,124,Dan,MacaqueFaces/Random/Dan/Macaque_Face_125.jpg,2015-07-23,Random
125,125,Dan,MacaqueFaces/Random/Dan/Macaque_Face_126.jpg,2014-08-06,Random
126,126,Dan,MacaqueFaces/Random/Dan/Macaque_Face_127.jpg,2014-09-05,Random
127,127,Dan,MacaqueFaces/Random/Dan/Macaque_Face_128.jpg,2014-09-18,Random
128,128,Dan,MacaqueFaces/Random/Dan/Macaque_Face_129.jpg,2015-07-06,Random
129,129,Dan,MacaqueFaces/Random/Dan/Macaque_Face_130.jpg,2015-07-09,Random
130,130,Dan,MacaqueFaces/Random/Dan/Macaque_Face_131.jpg,2015-06-02,Random
131,131,Dan,MacaqueFaces/Random/Dan/Macaque_Face_132.jpg,2014-09-18,Random
132,132,Dan,MacaqueFaces/Random/Dan/Macaque_Face_133.jpg,2015-06-08,Random
133,133,Dan,MacaqueFaces/Random/Dan/Macaque_Face_134.jpg,2014-10-06,Random
134,134,Dan,MacaqueFaces/Random/Dan/Macaque_Face_135.jpg,2015-07-23,Random
135,135,Dan,MacaqueFaces/Random/Dan/Macaque_Face_136.jpg,2014-10-06,Random
136,136,Dan,MacaqueFaces/Random/Dan/Macaque_Face_137.jpg,2015-06-02,Random
137,137,Dan,MacaqueFaces/Random/Dan/Macaque_Face_138.jpg,2015-06-01,Random
138,138,Dan,MacaqueFaces/Random/Dan/Macaque_Face_139.jpg,2014-10-06,Random
139,139,Dan,MacaqueFaces/Random/Dan/Macaque_Face_140.jpg,2015-07-17,Random
140,140,Dan,MacaqueFaces/Random/Dan/Macaque_Face_141.jpg,2014-07-16,Random
141,141,Dan,MacaqueFaces/Random/Dan/Macaque_Face_142.jpg,2014-12-05,Random
142,142,Dan,MacaqueFaces/Random/Dan/Macaque_Face_143.jpg,2014-09-18,Random
143,143,Dan,MacaqueFaces/Random/Dan/Macaque_Face_144.jpg,2014-03-19,Random
144,144,Dan,MacaqueFaces/Random/Dan/Macaque_Face_145.jpg,2014-08-06,Random
145,145,Dan,MacaqueFaces/Random/Dan/Macaque_Face_146.jpg,2015-06-08,Random
146,146,Dan,MacaqueFaces/Random/Dan/Macaque_Face_147.jpg,2014-09-18,Random
